timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595152726895,7,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,799,380,1,1,http://ocsp.digicert.com/,7,0,0
1595152726904,10,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-5,text,true,,799,380,1,1,http://ocsp.digicert.com/,9,0,0
1595152728070,9,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,9,0,5
1595152728080,5,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152728086,7,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,7,0,0
1595152728094,6,28 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,6,0,0
1595152728102,4,30 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152728107,5,29 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152728114,319,31 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,2341,371,1,1,http://ocsp.godaddy.com/,319,0,163
1595152728437,95,32 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,2537,381,1,1,http://ocsp.msocsp.com/,94,0,44
1595152728534,8,33 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,8,0,0
1595152728543,6,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,6,0,0
1595152728550,5,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152728556,5,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152728562,5,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152728568,5,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152728574,6,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152728581,5,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152728588,6,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,6,0,0
1595152728596,141,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,141,0,42
1595152728738,85,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,85,0,0
1595152728824,84,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,84,0,0
1595152728912,33,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,294,381,1,1,http://ocsp.digicert.com/,33,0,18
1595152728946,13,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,799,380,1,1,http://ocsp.digicert.com/,13,0,0
1595152728960,20,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,799,380,1,1,http://ocsp.digicert.com/,20,0,0
1595152728981,8,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-6,text,true,,799,380,1,1,http://ocsp.digicert.com/,7,0,0
1595152730100,10,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,10,0,4
1595152730111,5,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152730118,5,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152730124,5,28 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152730130,4,30 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152730135,5,29 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152730142,311,31 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,2341,371,1,1,http://ocsp.godaddy.com/,311,0,156
1595152730456,96,32 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,2537,381,1,1,http://ocsp.msocsp.com/,96,0,46
1595152730553,4,33 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152730558,4,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152730563,3,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,3,0,0
1595152730567,4,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152730572,5,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152730578,4,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152730583,4,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152730588,5,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152730594,4,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152730602,120,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,120,0,39
1595152730723,74,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,74,0,0
1595152730798,77,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,77,0,0
1595152730877,16,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,294,381,1,1,http://ocsp.digicert.com/,16,0,8
1595152730894,11,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,799,380,1,1,http://ocsp.digicert.com/,11,0,0
1595152730906,17,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,799,380,1,1,http://ocsp.digicert.com/,17,0,0
1595152730924,8,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-7,text,true,,799,380,1,1,http://ocsp.digicert.com/,7,0,0
1595152732087,8,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-8,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,8,0,4
1595152732096,5,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-8,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152732103,5,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-8,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
